Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:01<00:02,  1.48s/it]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:02<00:01,  1.47s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.41s/it]Loading checkpoint shards: 100%|██████████| 3/3 [00:04<00:00,  1.42s/it]
calibrated means over 32 items
baseline acc=0.607 [0.527, 0.681]  {'contradiction': 81, 'entailment': 69}
  L20 H14  acc=0.627  delta=+0.020   (111/192, 3.0/min, eta 27 min)
  L20 H15  acc=0.620  delta=+0.013   (112/192, 3.0/min, eta 27 min)
  L20 H16  acc=0.613  delta=+0.007   (113/192, 3.0/min, eta 26 min)
  L20 H17  acc=0.607  delta=+0.000   (114/192, 3.0/min, eta 26 min)
  L20 H18  acc=0.607  delta=+0.000   (115/192, 3.0/min, eta 26 min)
  L20 H19  acc=0.613  delta=+0.007   (116/192, 3.0/min, eta 25 min)
  L20 H20  acc=0.580  delta=-0.027   (117/192, 3.0/min, eta 25 min)
  L20 H21  acc=0.560  delta=-0.047   (118/192, 3.0/min, eta 25 min)
  L20 H22  acc=0.593  delta=-0.013   (119/192, 3.0/min, eta 24 min)
  L20 H23  acc=0.633  delta=+0.027   (120/192, 3.0/min, eta 24 min)
  L20 H24  acc=0.607  delta=+0.000   (121/192, 3.0/min, eta 24 min)
  L20 H25  acc=0.607  delta=+0.000   (122/192, 3.0/min, eta 23 min)
  L20 H26  acc=0.620  delta=+0.013   (123/192, 3.0/min, eta 23 min)
  L20 H27  acc=0.613  delta=+0.007   (124/192, 3.0/min, eta 23 min)
  L20 H28  acc=0.600  delta=-0.007   (125/192, 3.0/min, eta 22 min)
  L20 H29  acc=0.607  delta=+0.000   (126/192, 3.0/min, eta 22 min)
  L20 H30  acc=0.607  delta=+0.000   (127/192, 3.0/min, eta 22 min)
  L20 H31  acc=0.607  delta=+0.000   (128/192, 3.0/min, eta 21 min)
  L21 H0   acc=0.613  delta=+0.007   (129/192, 3.0/min, eta 21 min)
  L21 H1   acc=0.613  delta=+0.007   (130/192, 3.0/min, eta 21 min)
  L21 H2   acc=0.593  delta=-0.013   (131/192, 3.0/min, eta 20 min)
  L21 H3   acc=0.593  delta=-0.013   (132/192, 3.0/min, eta 20 min)
  L21 H4   acc=0.607  delta=+0.000   (133/192, 3.0/min, eta 20 min)
  L21 H5   acc=0.607  delta=+0.000   (134/192, 3.0/min, eta 19 min)
  L21 H6   acc=0.620  delta=+0.013   (135/192, 3.0/min, eta 19 min)
  L21 H7   acc=0.607  delta=+0.000   (136/192, 3.0/min, eta 19 min)
  L21 H8   acc=0.607  delta=+0.000   (137/192, 3.0/min, eta 18 min)
  L21 H9   acc=0.633  delta=+0.027   (138/192, 3.0/min, eta 18 min)
  L21 H10  acc=0.620  delta=+0.013   (139/192, 3.0/min, eta 18 min)
  L21 H11  acc=0.560  delta=-0.047   (140/192, 3.0/min, eta 17 min)
  L21 H12  acc=0.607  delta=+0.000   (141/192, 3.0/min, eta 17 min)
  L21 H13  acc=0.607  delta=+0.000   (142/192, 3.0/min, eta 17 min)
  L21 H14  acc=0.607  delta=+0.000   (143/192, 3.0/min, eta 16 min)
  L21 H15  acc=0.607  delta=+0.000   (144/192, 3.0/min, eta 16 min)
  L21 H16  acc=0.607  delta=+0.000   (145/192, 3.0/min, eta 16 min)
  L21 H17  acc=0.607  delta=+0.000   (146/192, 3.0/min, eta 15 min)
  L21 H18  acc=0.613  delta=+0.007   (147/192, 3.0/min, eta 15 min)
  L21 H19  acc=0.600  delta=-0.007   (148/192, 3.0/min, eta 15 min)
  L21 H20  acc=0.607  delta=+0.000   (149/192, 3.0/min, eta 14 min)
